RANK,Name,POS,ADP,BYE,NOTES,gFAN PTS,gYDS Passing,gTDS Pass,gREC Receiving,gYDS  Recieiving,gTDS Reciieving,gATT rushing,gDS rushing,gTDS rushing,yFAN PTS,yYDS Passing,yTDS Pass,yREC Receiving,yYDS  Recieiving,yTDS Reciieving,yATT rushing,yYDS rushing,yTDS rushing
128,Ryan Tannehill TEN ,QB19,136.4,7,"When someone goes from anywhere in between 6.7 and 7.7 yards per attempt throughout their first six years, then jumps up to 9.6 yards per target, we call that an outlier, especially when said outlier contains just a 286-pass attempt sample size. We can‘t ignore it, though. Tannehill put his name on the record books, as his 117.5 QB Rating in 2019 ranks as the fourth-best all-time. His 0.67 fantasy points per actual pass attempt ranked as the fourth-best mark over the last 10 years. What made it all that more impressive is that he was sacked every 10.8 dropbacks, which was the third-most often in the league. By comparison, Drew Brees was sacked every 32.5 dropbacks. So, that leaves us saying, “Okay, we know there‘ll be regression, but how much?"" Under Mike Vrabel, the Titans have run exactly 58.8 plays per game in each of his first two seasons as head coach. We know they want to be a run-first team, right? That‘s why the pass attempts have been 432 in 2018 and 448 in 2019. That‘s a problem. For the sake of argument, let‘s raise that number to 500, which would be a massive difference. Even assigning Tannehill a number of 8.3 yards per attempt (Patrick Mahomes’ number from 2019), it would amount to 4,150 yards. Then let‘s say he throws a touchdown on 5.0 percent of his passes (Dak Prescott from 2019). That would amount to 25 touchdowns. So, 4,150 passing yards and 25 touchdowns while comparing him to Mahomes and Prescott, while raising his pass attempts up to 500? Do you see why it makes little sense to think Tannehill even approaches top-10 territory? By comparison, Tom Brady threw for 4,057 yards and 24 touchdowns last year - he was hardly usable. Treat Tannehill as a streamer and you‘ll be happy. He‘s a great No. 2 quarterback to have in Superflex/2QB leagues because he‘s locked into the job and has shown top-five upside, even if it‘s highly improbable.",19.2,228.5,1.8,0,0,0,3.6,15.4,0.3,230.18,2742,22,0,0,0,43,185,4
129,Jerry Jeudy DEN ,WR51,132.7,8,"Over the last five years, I haven‘t scouted a wide receiver who was more pro-ready and well-rounded than Jeudy. With essentially no offseason, it‘s going to be difficult for him to walk in and develop instant chemistry with Drew Lock. At the same time, everyone on the team is learning a new offense, as Pat Shurmur has walked in as the offensive coordinator. Still, it‘ll be hard for him to overtake Courtland Sutton as the team‘s leader in targets. Jeudy can play many roles, including being the deep threat down the field, playing the possession-style role, or moving into the slot, which he did regularly at Alabama. Sutton isn‘t someone who‘ll move into the slot very often, which is a good thing for Jeudy, as Shurmur‘s slot receivers have done damage in the past. Again, the negative is that fellow rookie KJ Hamler is also a slot presence who‘s going to get some playing time. There‘s a path to Jeudy being a Terry McLaurin-like fantasy option this year, but his path to targets is not as easy. If Sutton stays on the field, Jeudy will be too inconsistent to trust on a weekly basis. He‘s still not a bad on to have on your bench as a WR4/5, because the talent is there.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Dallas Goedert PHI ,TE17,133.7,9,"We saw an upward trajectory in Goedert‘s career in 2019, though much of it was due to injuries to all of the wide receivers. Still, he saw at least five targets in 10 of the last 11 games, highlighting how much he‘s trusted. He‘s one of the rare cases of a tight end handcuff who has league-winning upside should anything happen to Zach Ertz. He does present some value on his own, but not enough to make it into the top-12 conversation.",5.8,0,0,3.9,40.5,0.3,0,0,0,86.7,0,0,58,607,5,0,0,0
131,Alexander Mattison MIN ,RB44,127.7,7,"He‘s one of the best handcuffs in fantasy football. There were times in 2019 where he looked like Dalvin Cook on the field, which is a high compliment. We also cannot pretend that Cook has been the picture of perfect health throughout his three years in the NFL. Mattison won‘t have much value without a Cook injury, but that‘s okay when you draft him in the later rounds.",4.5,0,0,0.8,6.3,0,7.7,35.5,0.1,58.4,0,0,10,82,0,100,462,1
132,Golden Tate NYG ,WR52,132.1,11,"I remember when Tate was just a young guy in the league trying to find a role in the Seahawks offense. Here we are, now entering his 11th season at 32 years old. As you can see from the Shepard paragraph, Tate was semi-consistent with his targets, but you also have to factor in where he played on the field. Both Saquon Barkley and Evan Engram missed time throughout the year, which should‘ve led to more targets for Tate. He had them most of the time, but even more importantly, he produced when he played. He produced WR3 or better numbers in 81.8 percent of his games last year. You know who did that more often than him? Michael Thomas. That‘s it. It is a new offense and Barkley/Engram are healthy, so don‘t expect that anymore, but understand that there‘s likely a place for him in fantasy football, especially when you consider the state of the Giants defense that‘ll be among the league‘s worst. He‘s not sexy and won‘t finish as a top-24 receiver, but he can be a WR4 type that you plug in when you know the Giants will be throwing a ton.",9.4,0,0,4.5,61.5,0.5,0.1,1.5,0,103.2,0,0,49,676,6,1,16,0
133,Joe Burrow CIN ,QB20,142,9,"Trusting a rookie quarterback in fantasy? Nonsense. Now? After we practically had no offseason? It sounds crazy, and it probably is. However, I don‘t know if I‘ve seen a quarterback with Burrow‘s confidence and swag come into the league in a long time. He‘s also walking into a situation where he has one of the best wide receiver depth charts in the league (when healthy). The offense that Zac Taylor ran last year presented plenty of opportunity, as Andy Dalton finished with the 12th most expected fantasy points despite missing three full games. He threw the ball at least 36 times in 11-of-13 games, including three games with 50-plus attempts. The offensive line is a problem, though it helps he‘ll get last year‘s first-round pick Jonah Williams back at left tackle. While the pass attempts and talent at wide receiver are great, what should attract you to Burrow is his willingness to run with the ball. Sure, he broke records as a passer at LSU, but he also rushed for nearly 800 yards and 12 touchdowns over the last two years. That adds breakout potential to a quarterback, so when you combine that with his arm talent, he makes for an ideal QB2 in fantasy. The Bengals defense is in a complete rebuild mode, and while they‘ve added talent this offseason, it‘ll take time for them to come together. They allowed 26.2 points per game last year (8th most), so if they continue to struggle, Burrow could become 2020‘s version of Jameis Winston.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Ryquell Armstead JAC COV-IR ,RB45,143.7,7,"After the Jaguars cut Leonard Fournette, Armstead is the starter for the Jaguars. Unfortunately, it‘s still a team that‘ll be in negative gamescripts the majority of time and he‘s not someone who‘s an above average pass-catcher. I‘m expecting 12-15 touches per game for him, which does offer RB3 value, but there‘s not a very high ceiling here.",2.3,0,0,0.9,9,0.1,2.2,6.8,0,37.2,0,0,14,144,2,35,108,0
135,Blake Jarwin DAL ,TE18,141.5,10,"Did you know that Jarwin and Jason Witten combined for 124 targets last year? With Witten gone, a lot of targets are up for the taking in Kellen Moore‘s obviously tight end friendly offense. Over the last two seasons, Jarwin has seen a total of 77 targets, turning them into 58 receptions for 672 yards and six touchdowns. That‘s 132.2 half PPR points, which would‘ve ranked eight among tight ends. While he may not be as efficient, it‘s extremely likely that he sees at least 77 targets this season. Think about it... sure, CeeDee Lamb might see more than the 83 targets than Randall Cobb did last year, but not that many more. Even if Jarwin sees just the 83 targets that Witten left behind, he‘ll be a top-12 tight end in 2020. With where he‘s going in drafts, it‘s a no brainer to take him as a late-round upside pick. With all the mouths they have at wide receiver, it‘s tough to see a top-three ceiling, but hey, we aren‘t looking for that.",3.4,0,0,1.9,22.8,0.2,0,0,0,54.5,0,0,31,365,3,0,0,0
136,Chris Herndon IV NYJ ,TE19,147,11,"There were many who were willing to draft Herndon last year despite his suspension, but he‘s going undrafted after a wasted 2019 season. The Jets are apparently looking to feature him in the passing game, and knowing Jamison Crowder saw 122 targets over the middle of the field last year, it‘d make sense. While Adam Gase has held players back throughout his time as a head coach, Herndon should have a few streaming performances in him this year.",0.3,0,0,0.5,3.5,0,0,0,0,0.7,0,0,1,7,0,0,0,0
137,Darrell Henderson LAR ,RB46,136.6,9,"Some Henderson truthers are dead-set on him being “the guy” in this offense, but the Rams selecting Cam Akers with their first pick in the draft is extremely worrisome. They used a second-round pick on Akers, while Henderson himself was taken with a third-round pick. I‘m not willing to say that Henderson is completely out of contention, but his value took a blow in the draft. This is likely to be a timeshare backfield, making him a risky RB3 in redraft leagues.",1.4,0,0,0.3,2.8,0,3,11.3,0,18.4,0,0,4,37,0,39,147,0
138,DeSean Jackson PHI ,WR53,143.7,9,"We saw exactly one game with Jackson healthy in the Doug Pederson offense. It led to nine targets, eight receptions, 154 yards, and two touchdowns. To be fair, it was against Washington, but still impressive. It‘s tough to take too much away from just one game, though. He is now 34 years old, so it‘s only a matter of time before his game declines, though we haven‘t seen it yet. He‘s averaged at least 10.0 yards per target in six of his last seven seasons. With Marquise Goodwin opting out for the season, they‘ll need Jackson in the field-stretching role. He‘s a poor man‘s version of Will Fuller at this stage of his career but can still fit in your lineup from time to time. At his current WR58 draft position, he‘s a steal.",9.3,0,0,3,53,0.7,0,0,0,27.9,0,0,9,159,2,0,0,0
139,Duke Johnson HOU ,RB47,138.2,8,"Despite continually being one of the most efficient running backs in football, it seems there‘s no head coach who wants to give Johnson his shot at a bigger role. This will be his sixth season in the NFL and he‘s never topped 104 carries in a season despite the fact that he‘s averaged 4.5 yards per carry (4.91 over the last four years) over his career. Now having to deal with David Johnson, whose best attribute is catching passes out of the backfield, it‘s unlikely Duke has any value with David healthy. However, it needs to be stated that David has played just 22 full games over the last three years and will be 29 years old at the end of the season. Should he miss time, Duke might get the opportunity that we‘ve been waiting for.",6.9,0,0,2.8,25.6,0.2,5.2,25.6,0.1,110,0,0,44,410,3,83,410,2
140,Gardner Minshew II JAC ,QB21,155.2,7,"It was quite miraculous what Minshew accomplished in 2020, especially when you factor in the lack of draft capital (sixth-round pick) they used to acquire him. Don‘t understand just how good he was? Put his numbers up next to Kyler Murray‘s. Minshew averaged more yards and passing touchdowns, while having fewer interceptions per game. And keep in mind that Minshew didn‘t even start two of the games included in that sample. Am I going to say that he should be drafted like Murray? No. However, he is being undervalued by those in 2QB leagues. The average quarterback rushes for a touchdown every 96.2 yards rushing. Had Minshew scored three rushing touchdowns (instead of the zero that he did) on 344 rushing yards, he would‘ve finished as the No. 14 fantasy quarterback... in his rookie season... as a sixth-round pick. The Jaguars defense is as bad as ever, so we‘ll see plenty of pass attempts out of him. It should also be noted that Jay Gruden (his new coordinator) has produced top-14 quarterbacks in 6-of-9 years, and the years he didn‘t, there were injuries and/or multiple quarterbacks playing. Minshew has zero competition and can potentially be a Jameis Winston-lite in 2020. He‘s the perfect target in 2QB leagues and will be streamable quite a bit in 1QB leagues.",16.8,233.6,1.5,0,0,0,4.8,24.6,0,235.24,3271,21,0,0,0,67,344,0
141,Breshad Perriman NYJ ,WR54,148.6,11,"Perriman is now on his fourth team in as many years. It‘s tough to be a reliable fantasy option when that‘s the case. Not only that, but the Jets are still under Adam Gase, which means there won‘t be many plays per game (he‘s been under 59 plays per game in each of the last two seasons). The Jets have what I deemed the toughest schedule in the league for perimeter wide receivers, so even if we see Perriman get the targets, he‘s unlikely to be efficient with them. He closed the 2019 season with 25 receptions for 506 yards and five touchdowns over his last five games, which will have some intrigued, but my guess is that you‘ll drop Perriman for a hot waiver wire pickup, as Gase‘s offense isn‘t Bruce Arians’ and Sam Darnold isn‘t Jameis Winston. There will be weeks where Perriman snags a deep ball and pays off, but those are the types of players you can find on the waiver wire all the time. I just don‘t see him getting more than 5-6 targets per game.",7.3,0,0,2.6,46.1,0.4,0.1,1.1,0,102.1,0,0,36,645,6,2,16,0
142,Jalen Reagor PHI ,WR55,147.7,9,"Reagor sustained a shoulder injury on August 30th and although the word is that he‘ll avoid surgery, he‘s reportedly likely to miss about four weeks. Prior to the injury, Reagor was set to be a value in drafts, as Alshon Jeffery‘s injury and a lack of reliable receiving options outside DeSean Jackson had him set to see a significant role. The timetable for his return is far from certain, but given that Reagor is a rookie and hasn‘t had any preseason contests to experience the speed of an NFL game, fantasy managers shouldn‘t count on production for him at the outset even after he returns. That‘s especially true given that he won‘t have as much time to benefit from Jeffery‘s likely absence to start the season. All in all, Reagor is a bench stash currently, but be prepared to be unable to use him for fantasy purposes for at least several weeks into the season.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Boston Scott PHI ,RB48,142.1,9,"The end of the 2019 season brought a lot of optimism for Scott‘s outlook, racking up 350 total yards and four touchdowns on just 61 touches over the season‘s final four games. During those four games, Miles Sanders scored exactly 1.3 more fantasy points than Scott. It may have been good enough for the Eagles to avoid free agent running backs and allow him to be the part of the timeshare duo with Sanders.",6.6,0,0,2.2,18.5,0,5.5,22.3,0.5,72.9,0,0,24,204,0,61,245,5
144,Chase Edmonds ARI ,RB49,145.1,8,"There are some who believe Edmonds is the surefire handcuff to Kenyan Drake, though I‘m not entirely sure of that, as Eno Benjamin is someone who can play. Sure, he fell to the seventh round, but it‘s not like Edmonds is a can‘t-miss player. We do know the Cardinals starting position is very valuable, so once we know which player is the handcuff, they should have bench priority in case an injury should arise.",5.4,0,0,0.9,8.1,0.1,4.6,23.3,0.3,70.8,0,0,12,105,1,60,303,4
145,Tony Pollard DAL ,RB50,144.6,10,"We saw flash out of Pollard last year, as he posted three games with 17-plus PPR points, and that was with Ezekiel Elliott on the field. Now a year older, the Cowboys may decide to dial back the veteran‘s workload, which would provide Pollard with a bigger role. If Elliott were to miss time, Pollard would immediately jump into the RB1 conversation.",4.9,0,0,1,7.1,0.1,5.7,30.3,0.1,74.2,0,0,15,107,1,86,455,2
146,N'Keal Harry NE ,WR56,157.1,6,"If there‘s someone who moved up my rankings when Cam Newton signed, it was Harry. I didn‘t like him much coming out of college as a wide receiver who didn‘t separate very well, but rather one who relied on winning contested catches. I knew he did that very well, but that didn‘t mesh well with the risk averse Tom Brady. As for Newton, he‘s shown the willingness to target his wide receivers with little separation. Look no further than Kelvin Benjamin and Devin Funchess. The last healthy season Newton played, he threw into tight coverage a whopping 20.5 percent of the time. By comparison, Brady only did that 15.2 percent of the time last year and 13.9 percent in 2018. Harry also dealt with some injuries during his rookie season, which prevented him from playing in a full-time role. Will he play over Mohamed Sanu in 2WR sets? Probably not just yet, but he could be a factor in the red zone, where he works best. He‘s a touchdown-dependent option, but one who won‘t see enough targets to be relevant if Julian Edelman is on the field. If Edelman misses time, Harry would receive a big boost. He‘s a bench stash WR5-type.",3.9,0,0,1.7,15,0.3,0.7,7,0,27.4,0,0,12,105,2,5,49,0
147,Robby Anderson CAR ,WR57,151.9,13,"Switching teams as a wide receiver this offseason seems... less than ideal. It does help, however, when there‘s a new quarterback on that team, as well as a coach you‘ve played for in the past. Matt Rhule was the coach while Anderson was at Temple back in 2015. The issue is that Bridgewater‘s strengths don‘t really align with Anderson‘s. Bridgewater threw the ball 20-plus yards just 7.1 percent of the time last year, which ranked second lowest in the league. Anderson‘s skill set just doesn‘t align with Bridgewater‘s strengths as a passer, though they may try to force the issue after spending $20 million over two years on Anderson. Not having an offseason to build rapport makes me a bit more concerned, especially knowing we‘ve seen Anderson‘s effort level best described as “inconsistent” on the field. It‘s tough to say he‘ll be a better fantasy option than he was in New York, only now his asking price is much lower. Being taken outside the top 50 wide receivers is a discount worth taking in best-ball leagues, but in redraft, it‘s tough to say he‘ll be a consistent contributor. He‘s the third option, at best.",6.9,0,0,3.3,48.7,0.3,0.1,0.3,0,110.3,0,0,52,779,5,1,4,0
148,Curtis Samuel CAR ,WR58,148.3,13,"There are a lot of analysts making excuses for Samuel‘s poor production last year, stating that his quarterback play was atrocious. While I don‘t disagree, there are plenty of wide receivers who‘ve had bad quarterback play but managed to be useful. Samuel‘s 0.96 yards per route run in 2019 ranked dead last among the 157 wide receivers with at least 100 targets over the last five years. Heck, his teammate D.J. Moore was able to finish as the WR18. Based on the targets Samuel received and where they took place, he should have finished as the WR16. Look, I‘m not saying Samuel is as bad as he was in 2019, but for him to become a reliable fantasy player, he‘d have to overcome the fact that he‘s now the fourth-best target in the offense, behind McCaffrey, Moore, and Anderson. The Panthers also tried shopping Samuel this offseason, but ultimately held onto him. He‘s someone to look at during bye weeks when the Panthers are double-digit underdogs. Outside of that, you‘re just looking for an injury to him to become anything more than a WR5-type option.",7.4,0,0,3.4,39.2,0.4,1.2,8.1,0.1,117.7,0,0,54,627,6,19,130,1
149,Jack Doyle IND ,TE20,154.6,7,"We‘ve watched the Colts tight end duo score plenty of fantasy points over the last two years under Frank Reich, right? They‘ve combined for 186 receptions, 2,096 yards and 25 touchdowns in that time. Now, we get Philip Rivers, the guy who‘s supported a top-11 tight end in all but one season in his long career, yet none of the Colts tight ends are being drafted in the top 18 at the position? The logical one is Doyle, who has now seen 105 targets in 22 games under Frank Reich. Burton is similar in the way that he‘s more of a move tight end while Doyle is the traditional one who‘ll be on the field most of the time. In a year where the Colts threw the ball just 513 times, it‘s good to see Doyle with at least four targets in 12-of-15 games. If you want to wait at tight end and search for a potential every-week starter, Doyle makes some sense.",4.3,0,0,2.7,28,0.3,0,0,0,68.8,0,0,43,448,4,0,0,0
150,Justin Jefferson MIN ,WR59,150.8,7,"In case you didn‘t know, Jefferson is coming off a ridiculous season with LSU where he tallied 111 receptions for 1,540 yards and 18 touchdowns over 15 games. He played the big-slot role for them, which is something the Vikings should take into consideration when figuring out how to best deploy him. Unfortunately, Jefferson wound up on the COVID list and is being forced to miss a lot of camp. Still, he‘s a route-running technician who‘s playing behind a 30-year-old receiver who‘s been dealing with back issues. There‘s an avenue where Jefferson is relied upon as a rookie more than most think, though it would likely require Thielen to be out of the lineup. Under Gary Kubiak/Kevin Stefanski last year, the wide receivers saw just 43.2 percent of the target share (4th-lowest mark in the NFL), making it very difficult for multiple options to be fantasy relevant on a week-to-week basis. Because of that, Jefferson is essentially just a wide receiver handcuff.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Eric Ebron PIT ,TE21,155.2,8,"Not many realize that there will be another 100-plus targets available in the Steelers offense with Ben Roethlisberger returning, though we don‘t know how Ebron factors in to that. They still have Vance McDonald under contract and have three wide receivers who are more than capable, which could leave Ebron off the field more than on the field, as he‘s not someone you want blocking for you. He‘s best-suited as a streaming option and not someone you rely on every week.",5,0,0,2.8,34.1,0.3,0,0,0,55.5,0,0,31,375,3,0,0,0
152,Jimmy Garoppolo SF ,QB22,161.2,11,"There are a lot of people (myself included) who don‘t realize just how impressive Garoppolo‘s numbers have been to this point in his career. He‘s averaged at least 8.0 yards per attempt in every year he‘s started a game, including 8.4 yards per attempt in 2019. He‘s completed 67.5 percent of his passes, and he has a 2.10:1 touchdown to interception ratio. Despite all that, he‘s been a top-12 type quarterback in fantasy just 28.0 percent of the time since joining the 49ers. How is that? He plays for Kyle Shanahan and has averaged just 29.7 pass attempts per game. When you do that to a strictly pocket passer, it crushes his fantasy upside. It‘s unlikely that changes in 2020, especially when you consider he‘ll be without his No. 1 receiver for a while, as Deebo Samuel recovers from broken foot surgery. It‘s worth noting that two of his four QB1 performances in 2019 were against the Cardinals, the team he‘ll play in Week 1. Again, he‘ll be without Samuel, but George Kittle might go nuclear. Garoppolo is a solid quarterback in 2QB formats, even if he doesn‘t come with a top-12 type ceiling.",16.3,248.6,1.7,0,0,0,2.9,3.9,0.1,260.32,3978,27,0,0,0,46,62,1
153,Kirk Cousins MIN ,QB23,157.4,7,"It‘s never easy to lose your top receiver during the offseason, which is what happened to Cousins when the Vikings traded away Stefon Diggs. They tried to replace him immediately, snagging Justin Jefferson in the first round of the NFL Draft. For a guy who threw just 444 pass attempts and offers no mobility, it‘s quite an accomplishment to finish as the No. 15 fantasy quarterback, as Cousins did. Now, with Kevin Stefanski out of town, you must wonder if the offense moves towards a more balanced attack under Gary Kubiak, though he may have been the genius behind the offense last year. Still, it‘s unrealistic to think Cousins throws the ball just 444 times again. Not only is the defense going through a rebuild process, but the Vikings just can‘t remain that efficient on the ground. Did you know the previous three seasons, Cousins was the (most recent first) QB12, QB6, and QB5? He‘s trending in the wrong direction, but he‘s still been a usable streamer in 1QB leagues. I‘d be shocked if he‘s below 500 pass attempts this year, though he is going to become less efficient losing Diggs. Even if we repeated last year‘s numbers, Cousins ranked 20th in top-18-type performances, which make him a solid quarterback to use in 2QB/Superflex formats. He has no shot to lose the job, likely sees increased volume, and has finished as a top-five quarterback before. Just don‘t draft him in 1QB leagues as a starter for Week 1, because he‘s playing the Packers, a team he scored just 8.9 and 6.9 fantasy points against last year.",16.7,240.2,1.7,0,0,0,2.1,4.2,0.1,250.42,3603,26,0,0,0,31,63,1
154,Damien Harris NE ,RB51,143,6,"The 2019 usage, or lack thereof, for Harris was puzzling to say the least. When you draft a running back in the third round, you typically use him in some sort of role. Of the 22 running backs who‘ve been drafted in the third round over the last seven years, Harris’ four touches were the fewest. He‘s the clear-cut handcuff to Sony Michel who‘s been extremely inefficient. If that continues in 2020, we could see the Patriots activate Harris (who doesn‘t contribute on special teams) and use him as their early-down back.",0.6,0,0,0,0,0,2,6,0,1.2,0,0,0,0,0,4,12,0
155,San Francisco (SF) ,DST1,141.3,11,,10.2,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0
156,Pittsburgh (PIT) ,DST2,144.1,8,,10.8,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0
157,Chris Thompson JAC ,RB52,170.4,7,"Thompson should be in line to see plenty of passing-down work with the Jaguars, as we know that Jay Gruden loved to utilize him heavily in that role when healthy with Washington. With Leonard Fournette being released, Thompson may see a slight uptick in usage, but he does not have the size or durability to carry a major load in the backfield. In half- and full-PPR formats, he should be rostered, but even with Fournette gone, he‘s not worth much in standard leagues.",4.7,0,0,3.8,34.4,0,3.4,12.5,0,51.6,0,0,42,378,0,37,138,0
158,Allen Lazard GB ,WR60,159.4,5,"We had to wonder whether it‘d be Lazard or Devin Funchess as the starting receiver opposite Davante Adams, but after finding out that Funchess opted out, it should be Lazard‘s job. Despite only being a part of the offense in 10 games, Lazard racked up 52 targets last year, including 17 of them in the final two games that he turned into 114 yards and a touchdown. That pace of targets over a 16-game season would add up to 83.2, which is certainly enough to be relevant, and there‘s obviously room for growth with the departure of Geronimo Allison. Aaron Rodgers has continually gone to bat for Lazard, and that‘s something to latch onto, as Rodgers did the same thing for Davante Adams back when he struggled at the start of his career. Lazard isn‘t someone you should rely on for WR3 production right out of the gate, but it‘s certainly within the realm of possibilities knowing that Rodgers trusts him. If you can land him as your WR5/6, there aren‘t many in that territory who offer the target upside Lazard does without injury in front of them.",4.2,0,0,2.2,29.8,0.2,0.1,1.3,0,67.8,0,0,35,477,3,1,21,0
159,Brandon Aiyuk SF ,WR61,160.6,11,"When you‘re a first-round pick, you‘re going to get some opportunities, and even more so when the team‘s No. 1 receiver is out. With Deebo Samuel slated to miss time, Aiyuk is likely to lead the 49ers receivers in targets over the first few weeks. Knowing the schedule starts with the Cardinals, Jets, and Giants, he might get off to a hot start. While watching college film on Aiyuk, he‘s someone who popped at times, but would then disappear during others. I classified him as more fast than quick, as he is shifty in routes, but lacks elite short-area burst. I thought he‘d be a field stretcher who could eventually turn into a complete receiver with some refinement in his intermediate routes. Knowing Garoppolo was arguably the best deep-ball passer in the league last year, that seems like a match. The issue is that the 49ers had him throw deep just 6.5 percent of the time, which was the lowest in the league. We need those numbers to go up for Aiyuk to truly explode. Knowing his early season schedule, it‘s not a bad idea to snag him as a WR5 and see what happens.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Baltimore (BAL) ,DST3,149,8,,9.6,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0
161,Philip Rivers IND ,QB24,171.1,7,"There‘s no masking it, Rivers was bad in 2019. He‘s now 38 years old (will be 39 in December), which is the age quarterbacks used to hit their decline (before Brady and Brees came along). Have we reached the end with him? He played behind a bad offensive line last year, something he‘s done through much of his career. In 2020, he‘ll play behind a top-three offensive line in football. He has already played under Frank Reich back when he threw for 4,286 yards and 31 touchdowns, then a career-high 4,792 yards and 29 touchdowns in 2015. Does that make a difference knowing it was five years ago? Well, yeah, in a way. The good news is that he at least knows the basics of the offense, which is important this year when we‘ve had practically no offseason. The bad news is that chemistry will have to be built on the fly, and it‘s even harder when your top receiver (T.Y. Hilton) shows up to camp on the injured list. We did see Jacoby Brissett and Brian Hoyer combine for 22 touchdown passes last year and Andrew Luck throw for 39 touchdowns in 2018, so it‘s a good offense. If you want to select Rivers in a 2QB format, it could pay dividends, though his fantasy floor might be a bit lower than someone like Gardner Minshew who uses his legs. There are way too many variables to consider him anything more than a streamer in 1QB formats.",16,288.4,1.4,0,0,0,0.8,1.8,0,255.5,4615,23,0,0,0,12,29,0
162,Sammy Watkins KC ,WR62,164.2,10,"Does anyone else believe that Watkins may have played through injury in 2019? He hadn‘t tallied anything less than 8.3 yards per target over the previous four years, and that‘s despite some subpar quarterback talent in Buffalo and Los Angeles. Knowing that Watkins is the No. 2 option at wide receiver in a Patrick Mahomes-led offense and that he‘s going outside the top-50 wide receivers is bananas. Sure, he was bad in 2019, but he looked like the player we thought he‘d be once they got to the playoffs, as he compiled 14 receptions for 288 yards and a touchdown on 18 targets in their three playoff games. The Chiefs also had an opportunity to move on from Watkins this offseason, but they decided to keep him on the roster. He may not be an every-week option from the get-go, but knowing you have a player tied to Patrick Mahomes who saw six-plus targets in 10-of-17 games last year should carry some weight. Snagging him as a WR4/5 with upside makes too much sense, as we can‘t let one inefficient year erase what he‘s been throughout his career. There‘s an avenue to him finishing as a WR3 without injury in front of him.",6.2,0,0,3.7,48.1,0.2,0.1,0.9,0,86.5,0,0,52,673,3,2,12,0
163,Drew Lock DEN ,QB25,174.9,8,"Well, there‘s one thing that‘s for certain. If Lock can‘t get it done with the skill-position players around him now, he never will. The Broncos went out and signed Melvin Gordon in free agency, then drafted top wideout Jerry Jeudy in the first round, speedster KJ Hamler in the second round, then Lock‘s former teammate Albert Okwuegbunam in the fourth round. Pair them with Courtland Sutton, Phillip Lindsay, and Noah Fant, and you suddenly have one of the most talented rooms in the league. It‘s tough to judge anything we saw from Lock in his rookie season, as he was asked to start late in the season, and it was a different coordinator. What we do know is that Pat Shurmur is his new offensive coordinator, and he‘s produced some solid quarterback play in his time. The last time he was a coordinator was 2017 when he coached Case Keenum to a 68 percent completion rate, 22 touchdowns, and just seven interceptions. My concern with Lock is that this is still Vic Fangio‘s team, and their defense should be very good. If Fangio doesn‘t give full reigns to Shurmur, we‘re likely to see a defensive-minded, run-heavy offense, which would cripple Lock‘s fantasy appeal. The high end for Lock‘s pass attempts is likely in the 525-attempt range, which isn‘t great for a quarterback with limited mobility. He‘s a great target in 2QB leagues, but I wouldn‘t trust him as an every-week starter in 1QB formats.",14.2,204,1.4,0,0,0,3.6,14.4,0,71,1020,7,0,0,0,18,72,0
164,Buffalo (BUF) ,DST4,158.1,11,,8.1,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0
165,Teddy Bridgewater CAR ,QB26,177.8,13,"It‘s going to be tough for the Panthers to have much success this year, as they have a new head coach, new play-caller, new quarterback, and an offensive line that‘s been shifted around, all while having very little offseason practice time. The defense is in a position to allow a ton of points, which does add appeal to Bridgewater. We should see him rack up the pass attempts, and it doesn‘t hurt to know that his 6.2 intended air yards per target was the lowest in the league, which should mean a lot of short completions to D.J. Moore and Christian McCaffrey. The issue is that Bridgewater offers no mobility after his reconstructive knee surgery. That means he‘ll have to be more efficient than other pocket passers available later in the draft, guys like Kirk Cousins and Jared Goff. Again, with no offseason, that‘s going to be incredibly hard to do. Save Bridgewater for 2QB leagues where he‘s a great target as a No. 2 quarterback with no chance to lose the starting job.",9.2,138.4,0.9,0,0,0,2.8,3.1,0,92.46,1384,9,0,0,0,28,31,0
166,Justin Jackson LAC ,RB53,166.5,10,"We all watched Raheem Mostert take off during the 2019 season, right? He had tremendous numbers when on the field in his earlier years, just like Jackson, who‘s averaged 5.14 yards per carry over his career to this point. Jackson is going to be fighting for playing time with fourth-round rookie Joshua Kelley this year trying to earn that Melvin Gordon role. It seems likely that the Chargers want Kelley in that role, but is Jackson good enough for them to change their course? It‘s a situation to monitor, as this will be a run-heavy team.",3.2,0,0,1.3,3.1,0,4.1,28.6,0,22.2,0,0,9,22,0,29,200,0
